"slug","symbol","date","open","close","market_cap","rank","ret","cum_ret","log_ret","cum_log_ret","Code","market_cap_category"
"nuls","NULS",2018-11-26,0.49,0.45,18053920,513,-0.08,2.67,-0.09,1.37,"CW2016","Under 50M"
"decred","DCR",2020-02-16,21.36,21.11,227760159.7,185,-0.01,34.5,-0.01,3.55,"PB2020","Under 500M"
"bitmax-token","ASD",2020-02-01,0.07,0.07,44621380.84,723,0,0.62,0,0.47,"PB2020","Under 50M"
"wing","WING",2023-01-28,8.18,7.86,24381513.37,799,-0.04,-0.93,-0.04,-2.84,"PB2024","Under 50M"
"assemble-protocol","ASM",2021-07-22,0.03,0.03,0,612,0,3.91,0,1.63,"BR2020","Under 50M"
"rsk-smart-bitcoin","RBTC",2022-12-16,17306.52,16651.6,56781965.19,304,-0.04,2.23,-0.04,1.27,"PB2024","Under 100M"
"usdd","USDD",2023-07-14,1,1,740013696.2,104,0,-0.01,0,-0.01,"PB2024","Under 1B"
"ontology-gas","ONG",2018-11-27,0.28,0.28,0,257,0,-0.74,0,-1.36,"CW2016","Under 50M"
"kadena","KDA",2023-05-08,0.87,0.82,188580007.5,248,-0.06,0.89,-0.06,0.71,"PB2024","Under 500M"
"ethereum","ETH",2015-08-21,1.48,1.4,101331855.6,2,-0.05,-0.51,-0.06,-0.73,"CW2014","Under 500M"
"dash","DASH",2023-11-14,32.15,30.91,356672511.2,178,-0.04,67.68,-0.04,4.14,"PB2024","Under 500M"
"dexe","DEXE",2021-11-11,12.13,12.58,43796000.29,144,0.04,6.51,0.04,2.02,"CW2020","Under 50M"
"airswap","AST",2019-07-27,0.04,0.04,6229085.79,829,0,-0.07,0,-0.03,"PB2020","Under 50M"
"kleros","PNK",2023-02-14,0.03,0.03,18339530.57,846,0,21.78,0,3.1,"PB2024","Under 50M"
"origin-protocol","OGN",2021-11-11,1.09,1.27,445930910.2,468,0.17,3.99,0.15,1.62,"CW2020","Under 500M"
"aragon","ANT",2022-06-01,2.03,1.82,72200205.94,184,-0.1,-0.09,-0.11,-0.05,"CW2020","Under 100M"
"ampleforth-governance-token","FORTH",2023-11-16,3.38,3.24,49107494.44,543,-0.04,-0.94,-0.04,-2.73,"PB2024","Under 50M"
"steem-dollars","SBD",2022-04-17,4.47,4.4,48548461.33,599,-0.02,-0.15,-0.02,0.16,"CW2020","Under 50M"
"wbnb","WBNB",2023-02-17,305.43,312.83,1186319027,213,0.02,8.77,0.02,2.3,"PB2024","Under 10B"
"mina","MINA",2023-02-13,1,0.93,778202920.8,89,-0.07,-0.77,-0.07,-1.51,"PB2024","Under 1B"
